part,make_or_buy,material,mass_g
01_intake_cover,make,al,252.7
02_compressor_wheel_ENVELOPE,buy,al,65.4
03_diffuser,make,al,185.5
04_bearing_tunnel,make,al,80.4
05_shaft,make,steel,74.5
06_bearing_front_608,buy,steel,13.2
06_bearing_rear_608,buy,steel,13.2
07_front_sleeve,make,steel,2.7
07_rear_sleeve,make,steel,11.8
07_rear_bearing_wave_spring,buy,steel,0.8
08_combustor,make,ss,189.8
09_ngv,make,inc,210.9
10_turbine_wheel_ENVELOPE,buy,inc,160.5
11_casing,make,ss,314.1
12_nozzle,make,ss,214.4
13_compressor_nut,make,steel,4.6
13_turbine_nut,buy,steel,2.3
14_fuel_manifold,make,ss,12.8
14_gas_ring,make,ss,9.7
14_lube_line,make,ss,1.4
15_fitting_fuel,buy,brass,2.6
15_fitting_gas,buy,brass,2.6
15_fitting_lube,buy,brass,2.6
16_glow_plug,buy,steel,5.6
17_thermocouple_K,buy,steel,2.9
18_starter_bracket,make,al,20.0
18_starter_motor_ENVELOPE,buy,other,37.1
18_starter_cone,make,other,6.8
19_mount_band_1,make,al,47.6
19_mount_band_2,make,al,47.6
20_mount_plate,make,al,87.6
99_screw_00_M3x8_intake-casing,buy,steel,0.9
99_screw_01_M3x8_intake-casing,buy,steel,0.9
99_screw_02_M3x8_intake-casing,buy,steel,0.9
99_screw_03_M3x8_intake-casing,buy,steel,0.9
99_screw_04_M3x8_intake-casing,buy,steel,0.9
99_screw_05_M3x8_intake-casing,buy,steel,0.9
99_screw_06_M3x8_intake-casing,buy,steel,0.9
99_screw_07_M3x8_intake-casing,buy,steel,0.9
99_screw_08_M3x10_intake-diffuser,buy,steel,1.0
99_screw_09_M3x10_intake-diffuser,buy,steel,1.0
99_screw_10_M3x10_intake-diffuser,buy,steel,1.0
99_screw_11_M3x10_intake-diffuser,buy,steel,1.0
99_screw_12_M3x8_tunnel-diffuser,buy,steel,0.9
99_screw_13_M3x8_tunnel-diffuser,buy,steel,0.9
99_screw_14_M3x8_tunnel-diffuser,buy,steel,0.9
99_screw_15_M3x8_tunnel-diffuser,buy,steel,0.9
99_screw_16_M3x6_NGV-tunnel,buy,steel,0.8
99_screw_17_M3x6_NGV-tunnel,buy,steel,0.8
99_screw_18_M3x6_NGV-tunnel,buy,steel,0.8
99_screw_19_M3x6_NGV-tunnel,buy,steel,0.8
99_screw_20_M3x8_nozzle-casing,buy,steel,0.9
99_screw_21_M3x8_nozzle-casing,buy,steel,0.9
99_screw_22_M3x8_nozzle-casing,buy,steel,0.9
99_screw_23_M3x8_nozzle-casing,buy,steel,0.9
99_screw_24_M3x8_nozzle-casing,buy,steel,0.9
99_screw_25_M3x8_nozzle-casing,buy,steel,0.9
99_screw_26_M3x8_nozzle-casing,buy,steel,0.9
99_screw_27_M3x8_nozzle-casing,buy,steel,0.9
99_screw_28_M3x8_starter_bracket,buy,steel,0.9
99_screw_29_M3x8_starter_bracket,buy,steel,0.9
99_screw_30_M3x8_starter_bracket,buy,steel,0.9
99_screw_31_M3x16_mount_clamp,buy,steel,1.4
99_screw_32_M3x10_mount-plate,buy,steel,1.0
99_screw_33_M3x16_mount_clamp,buy,steel,1.4
99_screw_34_M3x10_mount-plate,buy,steel,1.0
TOTAL,,,2117.1
